insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1001', '29-Apr-2024', 'Processing', 'P1001', 'G1001', 'A1001');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1023', '29-Apr-2024', 'Processing', 'P1023', 'G1003', 'A1023');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1024', '02-May-2024', 'Processing', 'P1024', 'G1004', 'A1024');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1025', '30-Apr-2024', 'Processing', 'P1025', 'G1005', 'A1025');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1026', '04-May-2024', 'Scheduled', 'P1026', 'G1006', 'A1026');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1027', '03-May-2024', 'Scheduled', 'P1027', 'G1007', 'A1027');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1028', '30-Apr-2024', 'Scheduled', 'P1028', 'G1008', 'A1028');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1029', '26-Apr-2024', 'Processing', 'P1029', 'G1009', 'A1029');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1030', '03-May-2024', 'Processing', 'P1030', 'G1010', 'A1030');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1031', '29-Apr-2024', 'Scheduled', 'P1031', 'G1001', 'A1031');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1032', '26-Apr-2024', 'Processing', 'P1032', 'G1002', 'A1032');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1033', '27-Apr-2024', 'Scheduled', 'P1033', 'G1003', 'A1033');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1034', '02-May-2024', 'Processing', 'P1034', 'G1004', 'A1034');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1035', '29-Apr-2024', 'Scheduled', 'P1035', 'G1005', 'A1035');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1036', '01-May-2024', 'Processing', 'P1036', 'G1006', 'A1036');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1037', '28-Apr-2024', 'Scheduled', 'P1037', 'G1007', 'A1037');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1038', '02-May-2024', 'Scheduled', 'P1038', 'G1008', 'A1038');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1039', '27-Apr-2024', 'Processing', 'P1039', 'G1009', 'A1039');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1040', '30-Apr-2024', 'Scheduled', 'P1040', 'G1010', 'A1040');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1041', '28-Apr-2024', 'Processing', 'P1041', 'G1001', 'A1041');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1042', '29-Apr-2024', 'Scheduled', 'P1042', 'G1002', 'A1042');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1043', '27-Apr-2024', 'Processing', 'P1043', 'G1003', 'A1043');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1044', '26-Apr-2024', 'Processing', 'P1044', 'G1004', 'A1044');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1045', '27-Apr-2024', 'Scheduled', 'P1045', 'G1005', 'A1045');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1046', '03-May-2024', 'Processing', 'P1046', 'G1006', 'A1046');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1047', '27-Apr-2024', 'Scheduled', 'P1047', 'G1007', 'A1047');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1048', '30-Apr-2024', 'Processing', 'P1048', 'G1008', 'A1048');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1049', '27-Apr-2024', 'Scheduled', 'P1049', 'G1009', 'A1049');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1050', '30-Apr-2024', 'Scheduled', 'P1050', 'G1010', 'A1050');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1051', '01-May-2024', 'Processing', 'P1051', 'G1001', 'A1051');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1052', '30-Apr-2024', 'Processing', 'P1052', 'G1002', 'A1052');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1053', '28-Apr-2024', 'Processing', 'P1053', 'G1003', 'A1053');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1054', '26-Apr-2024', 'Scheduled', 'P1054', 'G1004', 'A1054');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1055', '03-May-2024', 'Processing', 'P1055', 'G1005', 'A1055');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1056', '01-May-2024', 'Scheduled', 'P1056', 'G1006', 'A1056');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1057', '30-Apr-2024', 'Scheduled', 'P1057', 'G1007', 'A1057');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1058', '04-May-2024', 'Scheduled', 'P1058', 'G1008', 'A1058');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1059', '04-May-2024', 'Processing', 'P1059', 'G1009', 'A1059');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1060', '30-Apr-2024', 'Scheduled', 'P1060', 'G1010', 'A1060');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1061', '04-May-2024', 'Scheduled', 'P1061', 'G1001', 'A1061');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1062', '02-May-2024', 'Processing', 'P1062', 'G1002', 'A1062');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1063', '02-May-2024', 'Processing', 'P1063', 'G1003', 'A1063');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1064', '01-May-2024', 'Scheduled', 'P1064', 'G1004', 'A1064');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1065', '28-Apr-2024', 'Processing', 'P1065', 'G1005', 'A1065');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1066', '26-Apr-2024', 'Scheduled', 'P1066', 'G1006', 'A1066');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1067', '30-Apr-2024', 'Processing', 'P1067', 'G1007', 'A1067');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1068', '26-Apr-2024', 'Scheduled', 'P1068', 'G1008', 'A1068');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1069', '03-May-2024', 'Processing', 'P1069', 'G1009', 'A1069');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1070', '04-May-2024', 'Scheduled', 'P1070', 'G1010', 'A1070');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1071', '04-May-2024', 'Processing', 'P1071', 'G1001', 'A1071');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1072', '03-May-2024', 'Processing', 'P1072', 'G1002', 'A1072');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1073', '28-Apr-2024', 'Processing', 'P1073', 'G1003', 'A1073');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1074', '04-May-2024', 'Processing', 'P1074', 'G1004', 'A1074');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1075', '27-Apr-2024', 'Processing', 'P1075', 'G1005', 'A1075');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1076', '28-Apr-2024', 'Scheduled', 'P1076', 'G1006', 'A1076');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1077', '02-May-2024', 'Processing', 'P1077', 'G1007', 'A1077');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1078', '28-Apr-2024', 'Processing', 'P1078', 'G1008', 'A1078');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1079', '02-May-2024', 'Scheduled', 'P1079', 'G1009', 'A1079');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1080', '01-May-2024', 'Processing', 'P1080', 'G1010', 'A1080');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1081', '29-Apr-2024', 'Scheduled', 'P1081', 'G1001', 'A1081');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1082', '03-May-2024', 'Scheduled', 'P1082', 'G1002', 'A1082');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1083', '30-Apr-2024', 'Processing', 'P1083', 'G1003', 'A1083');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1084', '30-Apr-2024', 'Processing', 'P1084', 'G1004', 'A1084');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1085', '26-Apr-2024', 'Scheduled', 'P1085', 'G1005', 'A1085');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1086', '26-Apr-2024', 'Processing', 'P1086', 'G1006', 'A1086');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1087', '30-Apr-2024', 'Processing', 'P1087', 'G1007', 'A1087');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1088', '02-May-2024', 'Processing', 'P1088', 'G1008', 'A1088');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1089', '29-Apr-2024', 'Processing', 'P1089', 'G1009', 'A1089');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1090', '02-May-2024', 'Scheduled', 'P1090', 'G1010', 'A1090');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1091', '27-Apr-2024', 'Processing', 'P1091', 'G1001', 'A1091');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1092', '30-Apr-2024', 'Processing', 'P1092', 'G1002', 'A1092');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1093', '26-Apr-2024', 'Processing', 'P1093', 'G1003', 'A1093');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1094', '26-Apr-2024', 'Processing', 'P1094', 'G1004', 'A1094');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1095', '26-Apr-2024', 'Processing', 'P1095', 'G1005', 'A1095');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1096', '04-May-2024', 'Processing', 'P1096', 'G1006', 'A1096');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1097', '03-May-2024', 'Scheduled', 'P1097', 'G1007', 'A1097');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1098', '04-May-2024', 'Processing', 'P1098', 'G1008', 'A1098');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1099', '26-Apr-2024', 'Processing', 'P1099', 'G1009', 'A1099');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1100', '01-May-2024', 'Processing', 'P1100', 'G1010', 'A1100');
