insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1001');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1008');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1009');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1010');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1011');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1012');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1013');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1014');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1015');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1016');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1017');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1018');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1019');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1020');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1021');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1022');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1023');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1024');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1025');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1026');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1027');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1028');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1029');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1030');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1001');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1002');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1003');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1004');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1005');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1006');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1007');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1008');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1009');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1010');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1011');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1012');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1013');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1014');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1015');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1016');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1017');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1018');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1019');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1020');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1021');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1022');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1023');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1024');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1025');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1026');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1027');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1028');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1029');
insert into flight_Pilot (flight_id, pilot_id) values ('F1003', 'PLT1030');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1001');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1002');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1003');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1004');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1005');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1006');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1007');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1008');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1009');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1010');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1011');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1012');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1013');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1014');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1015');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1016');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1017');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1018');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1019');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1020');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1021');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1022');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1023');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1024');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1025');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1026');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1027');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1028');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1029');
insert into flight_Pilot (flight_id, pilot_id) values ('F1004', 'PLT1030');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1001');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1002');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1003');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1004');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1005');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1006');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1007');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1008');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1009');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1010');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1011');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1012');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1013');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1014');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1015');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1016');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1017');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1018');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1019');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1020');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1021');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1022');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1023');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1024');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1025');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1026');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1027');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1028');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1029');
insert into flight_Pilot (flight_id, pilot_id) values ('F1005', 'PLT1030');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1001');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1002');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1003');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1004');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1005');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1006');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1007');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1008');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1009');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1010');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1011');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1012');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1013');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1014');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1015');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1016');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1017');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1018');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1019');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1020');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1021');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1022');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1023');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1024');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1025');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1026');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1027');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1028');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1029');
insert into flight_Pilot (flight_id, pilot_id) values ('F1006', 'PLT1030');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1001');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1002');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1003');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1004');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1005');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1006');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1007');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1008');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1009');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1010');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1011');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1012');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1013');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1014');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1015');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1016');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1017');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1018');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1019');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1020');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1021');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1022');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1023');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1024');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1025');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1026');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1027');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1028');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1029');
insert into flight_Pilot (flight_id, pilot_id) values ('F1007', 'PLT1030');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1001');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1002');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1003');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1004');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1005');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1006');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1007');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1008');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1009');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1010');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1011');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1012');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1013');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1014');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1015');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1016');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1017');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1018');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1019');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1020');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1021');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1022');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1023');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1024');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1025');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1026');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1027');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1028');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1029');
insert into flight_Pilot (flight_id, pilot_id) values ('F1008', 'PLT1030');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1001');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1002');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1003');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1004');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1005');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1006');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1007');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1008');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1009');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1010');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1011');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1012');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1013');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1014');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1015');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1016');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1017');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1018');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1019');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1020');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1021');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1022');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1023');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1024');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1025');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1026');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1027');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1028');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1029');
insert into flight_Pilot (flight_id, pilot_id) values ('F1009', 'PLT1030');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1001');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1002');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1003');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1004');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1005');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1006');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1007');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1008');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1009');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1010');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1011');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1012');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1013');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1014');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1015');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1016');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1017');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1018');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1019');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1020');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1021');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1022');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1023');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1024');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1025');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1026');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1027');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1028');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1029');
insert into flight_Pilot (flight_id, pilot_id) values ('F1010', 'PLT1030');
