insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1001', 'P1001', '04-May-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1024', 'P1024', '30-Apr-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1025', 'P1025', '27-Apr-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1026', 'P1026', '02-May-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1027', 'P1027', '26-Apr-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1028', 'P1028', '02-May-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1029', 'P1029', '28-Apr-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1030', 'P1030', '01-May-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1031', 'P1031', '27-Apr-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1032', 'P1032', '28-Apr-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1033', 'P1033', '04-May-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1034', 'P1034', '03-May-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1035', 'P1035', '27-Apr-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1036', 'P1036', '03-May-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1037', 'P1037', '03-May-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1038', 'P1038', '27-Apr-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1039', 'P1039', '29-Apr-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1040', 'P1040', '27-Apr-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1041', 'P1041', '04-May-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1042', 'P1042', '26-Apr-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1043', 'P1043', '26-Apr-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1044', 'P1044', '04-May-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1045', 'P1045', '26-Apr-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1046', 'P1046', '02-May-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1047', 'P1047', '29-Apr-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1048', 'P1048', '27-Apr-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1049', 'P1049', '04-May-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1050', 'P1050', '27-Apr-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1051', 'P1051', '30-Apr-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1052', 'P1052', '28-Apr-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1053', 'P1053', '29-Apr-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1054', 'P1054', '26-Apr-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1055', 'P1055', '03-May-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1056', 'P1056', '03-May-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1057', 'P1057', '26-Apr-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1058', 'P1058', '27-Apr-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1059', 'P1059', '28-Apr-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1060', 'P1060', '02-May-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1061', 'P1061', '26-Apr-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1062', 'P1062', '03-May-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1063', 'P1063', '02-May-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1064', 'P1064', '01-May-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1065', 'P1065', '01-May-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1066', 'P1066', '30-Apr-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1067', 'P1067', '02-May-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1068', 'P1068', '04-May-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1069', 'P1069', '02-May-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1070', 'P1070', '29-Apr-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1071', 'P1071', '01-May-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1072', 'P1072', '01-May-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1073', 'P1073', '30-Apr-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1074', 'P1074', '03-May-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1075', 'P1075', '27-Apr-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1076', 'P1076', '27-Apr-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1077', 'P1077', '03-May-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1078', 'P1078', '29-Apr-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1079', 'P1079', '29-Apr-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1080', 'P1080', '02-May-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1081', 'P1081', '26-Apr-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1082', 'P1082', '28-Apr-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1083', 'P1083', '02-May-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1084', 'P1084', '27-Apr-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1085', 'P1085', '01-May-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1086', 'P1086', '03-May-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1087', 'P1087', '29-Apr-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1088', 'P1088', '28-Apr-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1089', 'P1089', '01-May-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1090', 'P1090', '02-May-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1091', 'P1091', '03-May-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1092', 'P1092', '03-May-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1093', 'P1093', '26-Apr-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1094', 'P1094', '03-May-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1095', 'P1095', '03-May-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1096', 'P1096', '02-May-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1097', 'P1097', '03-May-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1098', 'P1098', '04-May-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1099', 'P1099', '30-Apr-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1100', 'P1100', '28-Apr-2024', 'Checked-in');
