insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1001', 'T1281', 19);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1073', 'T1108', 19);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1074', 'T1160', 20);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1075', 'T1107', 16);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1076', 'T1287', 20);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1077', 'T1011', 23);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1078', 'T1230', 23);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1079', 'T1280', 25);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1080', 'T1043', 16);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1081', 'T1039', 23);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1082', 'T1114', 23);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1083', 'T1286', 21);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1084', 'T1115', 22);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1085', 'T1085', 17);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1086', 'T1003', 21);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1087', 'T1141', 25);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1088', 'T1293', 16);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1089', 'T1300', 23);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1090', 'T1163', 20);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1091', 'T1158', 20);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1092', 'T1232', 25);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1093', 'T1299', 16);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1094', 'T1217', 19);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1095', 'T1151', 22);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1096', 'T1204', 24);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1097', 'T1029', 17);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1098', 'T1202', 25);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1099', 'T1077', 16);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1100', 'T1243', 17);
